"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","78352442300.2896","85572257378.0369","92611924915.8817","99137563525.0763","102913612126.245","108706561737.342","113694912666.118","118616860352.184","126760388607.989","136674806623.53","148128642030.166","158657442738.624","165825735389.979","170358571914.257","178099989806.94","186645664946.409","193904556022.03","199209151383.497","209079030071.94","217281536106.108","231572537652.888","233509722641.781","246208618963.279","254349494625.041","268411651368.624","276672160743.033","302093862522.348","315872471102.778","331667258770.778","325304773806.549","338956762514.683","355245378484.805","374105613095.901",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24579791234.0904","25237195041.8372","19945030704.6921","15673990755.1109","12842473272.8006","11590579832.1496","11949163060.8205","12885927131.1377","14373650271.5597","15663656652.24","17778861376.0827","19981935601.1459","22458899394.1686","25500372595.0024","28891463741.4149","37730965491.5168","52385274479.7407","67406390444.3744","76337853465.639","84170597084.3198","89561389923.7786","92381515295.1757","98775705515.4906",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","1191616541.93999","1461822941.4245","1534548453.56076","1654516644.26874","1719325429.99198","1980611148.86835","2090709849.68313","2270390977.57568","2467655904.41468","2595103147.3539","2787793064.52616","3026567700.80418","3121529341.51084","2990911464.5369","2934923005.61664","2765348878.5643","2589170421.74539","2597122200.46885","2758704185.20372","2770883443.7214","2806581378.59446","2929215205.55194","3109145452.67082","3135789778.72171","3379785231.2958","3523396911.73289","3832904321.50959","4132778875.59441","4437410025.40126","4631670996.78924","4871325911.88617","5183497385.10406","5518442237.28195",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","100793519612.038","109932363785.522","117324237158.433","122345370789.912","130071125444.783","136257561472.364","141843426225.041","149370227166.258","161830776974.701","173786269074.29","186169232931.289","196301143046.47","204039053022.906","206512277764.26","217635643670.516","227449145283.267","231717804167.763","242631393743.166","248656244520.222","259291443431.538","283448337364.433","293364588669.548","310462809934.262","314342224692.023","324901245495.301","337299884075.598","360663522193.811","378655046726.167","396534888505.826","394813692463.615","412159121560.379","426929722669.565","443327306989.798",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","1910603594.35732","2297682956.44731","2492159418.86104","2478096838.67669","2775056036.3514","3075157661.22455","3212176193.63935","3256696286.1629","3484866737.31993","3512843359.33035","3973346945.18709","4281987242.70132","4501496442.9226","4868661406.66337","5068157879.68975","5499574025.39395","5838984799.83979","6292849569.69878","6634016794.05831","7090839507.40227","7596458078.25145","8254095819.70841","8758981669.17275","9290718769.22197","9849927668.52378","10468464167.1345","11211639260.8301","12070409609.5942","12956468469.3679","13418864467.3673","13945512596.1209","14745058780.5938","15908649489.0784",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","2111760212.04466","2407965862.27506","2798961279.49167","2919742042.21442","2975514891.03709","3327561106.45506","3672603019.57418","3771273737.58355","4128782268.9397","4376328279.22235","4514917164.73376","5091768894.64214","5211116998.9437","5509696148.05997","5695803101.56829","6161481272.66228","6961273127.91418","7543679484.83037","8208672163.14153","8945732149.10123","9308098113.35289","10145991312.0216","10841113255.0522","11933173595.5788","12818113504.9309","14390722537.1696","15860320284.0704","16908666203.2741","18284965746.2703","18992665928.4987","20774866837.9997","22110107360.7325","24903732594.8899",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","26053200460.4237","29578378382.0285","32126271972.0552","34738290418.4266","37910222737.2809","40327255371.0764","42980602604.5123","45891054582.678","48514535573.9614","51655898915.7944","56800421187.4175","60691930326.4318","65093068375.9258","69563041297.0269","73878659995.4206","79320621871.2977","84456265745.7184","90722227799.6641","96805895305.7427","103008173301.481","111492809419.375","120033912144.208","127369179337.507","136887709863.985","149561088821.833","163728142377.105","180214223553.725","197358551101.816","214210347513.05","228499267715.891","245609859358.081","267661591066.975","291298910602.791",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","24506995738.3556","28117311914.4929","30526849321.883","32822933067.9915","35212344334.9044","37261473423.6946","39697499621.7195","43334520260.839","49751578962.5354","49926047488.7598","47094950299.5898","44582905728.722","42211434495.8589","42498353524.133","44151986943.9747","46471370380.9184","38798336377.9213","40356879823.4025","45137279547.272","46510538701.4534","50859870090.8129","54218631647.1249","59639448753.1946","64250989097.1752","69017612607.3095","75923840851.6541","85177784111.6228","94551292251.1827","106083050683.512","103286580389.33","104668136066.369","110894448462.541","116381949194.505",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","3612807638.56592","3741328201.92896","3669351773.87828","4057720588.99157","4420775517.64879","4339007717.68809","4488504673.37074","5100450425.1037","5647531090.81661","5881458258.55221","6375435552.05564","7332388063.29066","7987701132.71614","9213378177.45852","9377462515.80195","9972731777.63312","10566459364.8871","11103277077.6668","11798580097.8888","12486360131.2756","13432626241.1013","14369065820.9776","15370489111.9568","16824251123.9703","18265900390.226","20344224752.201","22407560903.2293","24980149979.2747","27141098296.1433","28228407960.783","29846731066.4561","31121747918.7017","32940480980.3233",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","2618848322.75881","2600024535.86527","2943223324.86174","3169700327.41699","3754797628.65115","4056331084.23254","4221551593.13343","4474924660.84004","4737714887.45888","5246781319.70328","5358841615.70612","5309243574.49694","5213686075.68538","5344390072.52179","5624920092.62648","6007812357.13344","6372429197.48757","6629223041.44121","7039411578.99639","7652908844.87058","8142905639.4396","8546162473.17127","8919837716.51684","8992542023.76711","9326987416.78504","9963764563.77189","10544058089.9052","11006686019.8055","10988637197.9011","10622378940.7903","10870827909.8226","11286336171.0633","11764792984.1627",
